object_type,ext_class,ext_relation
activityNameNL,ext:ActivityName,ext:has_activity_name
dateFinished,ext:DateFinished,ext:has_date_finished
case,ext:Case,ext:has_case
monitoringResource,ext:MonitoringResource,ext:has_monitoring_resource
activityNameEN,ext:ActivityName,ext:has_activity_name
question,ext:Question,ext:has_question
action_code,ext:ActionCode,ext:has_action_code
org:resource,ext:Resource,ext:handled_by_resource
planned,ext:PlannedDate,ext:has_planned_date
dueDate,ext:DueDate,ext:has_due_date
dateStop,ext:DateStop,ext:has_date_stop
endDate,ext:EndDate,ext:has_end_date
IDofConceptCase,ext:ConceptCaseID,ext:has_id_of_concept_case
SUMleges,ext:SumLeges,ext:has_sum_leges
startDate,ext:StartDate,ext:has_start_date
parts,ext:Parts,ext:has_parts
endDatePlanned,ext:PlannedEndDate,ext:has_planned_end_date
landRegisterID,ext:LandRegisterID,ext:has_land_register_id
Responsible_actor,ext:ResponsibleActor,ext:has_responsible_actor
requestComplete,ext:RequestComplete,ext:has_request_complete
last_phase,ext:LastPhase,ext:has_last_phase
termName,ext:TermName,ext:has_term_name
case_type,ext:CaseType,ext:has_case_type
caseStatus,ext:CaseStatus,ext:has_case_status
Includes_subCases,ext:IncludesSubCases,ext:includes_sub_cases
caseProcedure,ext:CaseProcedure,ext:has_case_procedure
